name,beta,se_ols,z_ols,p_ols,se_hac,z_hac,p_hac
const,-3.2999517619325522,0.01319849424349789,-250.02486655311014,0.0,0.02114634400932875,-156.05306337950296,0.0
scr,0.14602647471582564,2.7970653945470065,0.05220702919585299,0.9583637320853159,0.4210437833448074,0.34682016572190894,0.728726426316616
net_wifi,0.1259530690881579,0.011418179608197802,11.030923790840404,2.710662347729028e-28,0.02259906027680348,5.573376394656588,2.498489439559673e-08
net_mobile,0.10693907925828765,0.017990137912244613,5.94431681290791,2.7761222710491894e-09,0.03817315073252375,2.8014213447457172,0.005087804212725788
T0,0.03874168049153004,0.0031760599674818296,12.19803180298474,3.1842787797401517e-34,0.0065695617108410135,5.897148424315579,3.698371673275236e-09
dev_358057080902248,0.20159214913637719,0.016693640105809524,12.07598509723601,1.4145993428598794e-33,0.03371291456989588,5.979671342815015,2.2358826868399365e-09
dev_866558034754119,0.015243779137334101,0.033308713252271784,0.4576513965544561,0.6472029118495283,0.10664375086395597,0.14294113826491708,0.8863366685125071
dev_866817034014258,0.14847367489649793,0.017392178933800954,8.536807001677387,1.3798174166536344e-17,0.03284441392846089,4.520515276049425,6.168929317464407e-06
dev_867194030192184,-0.15715318048106208,0.018431227345985752,-8.526463134061954,1.5089023555576693e-17,0.03189954144177705,-4.926502807819279,8.371440987780381e-07
scr_x_wifi,-0.5602500088778214,1.57010575685927,-0.35682310343126594,0.721224239273357,0.38591697155789667,-1.451737161535459,0.14657470222430363
scr_x_mob,0.7062764835936529,1.261813318050368,0.5597313592195422,0.5756626890932268,0.23650744496644985,2.986275902197679,0.002823977319229877
scr_x_T0,-0.23246194700789244,1.1601217530151693,-0.2003771986894662,0.8411855906725445,0.16178401308799786,-1.436865995414833,0.15075607374607947
wifi_x_T0,-0.002975438605518896,0.0037224136608395545,-0.7993304550810761,0.4240988240635166,0.0074993782437008695,-0.3967580389771814,0.6915458963969263
mob_x_T0,0.0558336670555189,0.005253717886485336,10.627458166177027,2.220828613113189e-26,0.011687655057253292,4.77714877638084,1.7779822749143723e-06
